Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-08-29,52.74,52.8775,52.065,52.73,12539059.0,0.0,1.0,51.26051010726216,51.3941528857936,50.60444555810778,51.25079063245987,12539059.0
2017-08-28,54.07,54.43,53.615,53.73,5268953.0,0.0,1.0,52.55320025596634,52.90310134884867,52.11096415246228,52.222738112688575,5268953.0
2017-08-25,54.03,54.2,53.5375,53.9,6416622.0,0.0,1.0,52.51432235675719,52.679553428396076,52.03563822274455,52.38796918432746,6416622.0
2017-08-24,53.93,53.97,53.46,53.84,5461911.0,0.0,1.0,52.41712760873432,52.456005507943466,51.960312293026824,52.32965233551374,5461911.0
2017-08-23,53.92,54.08,53.445,53.61,6409366.0,0.0,1.0,52.40740813393204,52.56291973076863,51.945733080823395,52.10610441506113,6409366.0
2017-08-22,53.92,54.41,53.79,54.13,8212816.0,0.0,1.0,52.40740813393204,52.883662399244095,52.2810549615023,52.61151710478006,8212816.0
2017-08-21,54.44,54.44,53.105,53.61,14288743.0,0.0,1.0,52.91282082365096,52.91282082365096,51.61527093754563,52.10610441506113,14288743.0
2017-08-18,54.85,55.42,54.17,54.95,22905183.0,0.0,1.0,53.31131929054473,53.8653293542751,52.65039500398921,53.40851403856761,22905183.0
2017-08-17,58.53,58.7445,57.42,57.46,9148637.0,0.0,1.0,56.888086017786385,57.09656875229545,55.80922431473252,55.848102213941665,9148637.0
2017-08-16,58.9,59.05,58.221,58.54,5489569.0,0.0,1.0,57.24770658547101,57.39349870750531,56.58775424639571,56.897805492588674,5489569.0
2017-08-15,58.94,59.01,58.29,58.56,8913041.0,0.0,1.0,57.286584484680155,57.35462080829616,56.654818622531494,56.91724444219325,8913041.0
2017-08-14,59.15,60.0,59.13,59.78,5899971.0,0.0,1.0,57.49069345552818,58.316848813722586,57.47125450592361,58.10302036807227,5899971.0
2017-08-11,58.73,59.27,58.59,58.97,4979994.0,0.0,1.0,57.08247551383212,57.60732715315563,56.94640286660011,57.315742909087014,4979994.0
2017-08-10,59.68,59.69,59.06,59.07,5585065.0,0.0,1.0,58.0058256200494,58.01554509485169,57.403218182307604,57.412937657109886,5585065.0
2017-08-09,59.42,59.965,59.26,59.9,5310944.0,0.0,1.0,57.75311927518994,58.28283065191459,57.59760767835334,58.219654065699714,5310944.0
2017-08-08,59.88,60.12,59.36,59.46,5586439.0,0.0,1.0,58.200215116095144,58.43348251135003,57.694802426376214,57.791997174399086,5586439.0
2017-08-07,59.82,60.1,59.71,59.79,4066712.0,0.0,1.0,58.14189826728142,58.41404356174546,58.034984044456266,58.11273984287456,4066712.0
2017-08-04,60.17,60.34,59.63,59.76,4105953.0,0.0,1.0,58.48207988536147,58.64731095700035,57.95722824603797,58.083581418467695,4105953.0
2017-08-03,59.8,60.53,59.64,60.14,5677162.0,0.0,1.0,58.12245931767684,58.831980978243806,57.96694772084025,58.452921460954606,5677162.0
2017-08-02,59.55,59.95,59.27,59.79,4468121.0,0.0,1.0,57.87947244761967,58.26825143971116,57.60732715315563,58.11273984287456,4468121.0
2017-08-01,59.0,59.94,58.9,59.84,9051700.0,0.0,1.0,57.34490133349388,58.25853196490886,57.24770658547101,58.161337216886,9051700.0
2017-07-31,58.71,59.12,58.33,59.05,6225907.0,0.0,1.0,57.06303656422755,57.46153503112132,56.69369652174064,57.39349870750531,6225907.0
2017-07-28,58.15,58.735,57.97,58.67,5112825.0,0.0,1.0,56.518745975299474,57.08733525123327,56.34379542885831,57.024158665018405,5112825.0
2017-07-27,58.6,58.68,57.985,58.15,8259947.0,0.0,1.0,56.9561223414024,57.03387813982069,56.35837464106174,56.518745975299474,8259947.0
2017-07-26,59.09,59.13,58.32,58.36,5529498.0,0.0,1.0,57.43237660671446,57.47125450592361,56.68397704693836,56.72285494614751,5529498.0
2017-07-25,59.32,59.52,58.92,59.39,5157123.0,0.0,1.0,57.655924527167066,57.85031402321281,57.267145535075585,57.72396085078307,5157123.0
2017-07-24,59.69,59.7701,58.761,58.95,7498300.0,0.0,1.0,58.01554509485169,58.093398088018006,57.11260588571922,57.296303959482444,7498300.0
2017-07-21,59.0,60.0,58.91,59.95,11048297.0,0.0,1.0,57.34490133349388,58.316848813722586,57.25742606027329,58.26825143971116,11048297.0
2017-07-20,59.12,59.59,58.8,59.1,11915496.0,0.0,1.0,57.46153503112132,57.918350346828824,57.150511837448136,57.44209608151675,11915496.0
2017-07-19,57.6,57.875,57.3925,57.77,4451101.0,0.0,1.0,55.984174861173685,56.25146041823658,55.782495759026226,56.14940593281257,4451101.0
2017-07-18,57.74,58.08,57.47,57.65,4922455.0,0.0,1.0,56.120247508405704,56.45070965168346,55.857821688743954,56.03277223518512,4922455.0
2017-07-17,58.0,58.35,57.755,57.79,6883975.0,0.0,1.0,56.372953853265166,56.71313547134522,56.13482672060914,56.16884488241714,6883975.0
2017-07-14,57.95,58.21,57.64,58.0,6344849.0,0.0,1.0,56.32435647925374,56.5770628241132,56.02305276038283,56.372953853265166,6344849.0
2017-07-13,58.22,58.58,57.93,57.94,8108634.0,0.0,1.0,56.58678229891548,56.93668339179782,56.30491752964916,56.31463700445144,8108634.0
2017-07-12,58.31,58.75,58.1,58.22,7243119.0,0.0,1.0,56.67425757213607,57.1019144634367,56.47014860128804,56.58678229891548,7243119.0
2017-07-11,58.54,58.93,58.04,58.18,7222319.0,0.0,1.0,56.897805492588674,57.276865009877866,56.41183175247431,56.54790439970633,7222319.0
2017-07-10,57.89,58.81,57.68,58.73,8942398.0,0.0,1.0,56.26603963044001,57.160231312250424,56.06193065959198,57.08247551383212,8942398.0
2017-07-07,57.4,58.08,57.03,57.98,8145436.0,0.0,1.0,55.78978536512794,56.45070965168346,55.43016479744332,56.35351490366059,8145436.0
2017-07-06,57.45,57.72,57.0,57.16,9035661.0,0.0,1.0,55.838382739139384,56.10080855880113,55.40100637303646,55.55651796987305,9035661.0
2017-07-05,58.24,58.29,57.51,57.56,16166954.0,0.0,1.0,56.60622124852006,56.654818622531494,55.8966995879531,55.94529696196454,16166954.0
2017-07-03,58.37,59.01,58.33,58.65,9910021.0,0.0,1.0,56.73257442094979,57.35462080829616,56.69369652174064,57.00471971541383,9910021.0
2017-06-30,56.6,59.71,56.5,59.0,46537229.0,0.0,1.0,55.01222738094498,58.034984044456266,54.915032632922106,57.34490133349388,46537229.0
2017-06-29,53.33,53.63,52.99,53.17,14801866.0,0.0,1.0,51.83395912059709,52.12554336466571,51.50349697731934,51.678447523760504,14801866.0
2017-06-28,53.17,53.61,52.96,53.36,7525146.0,0.0,1.0,51.678447523760504,52.10610441506113,51.47433855291247,51.86311754500395,7525146.0
2017-06-27,53.19,53.26,52.64,52.95,7873136.0,0.0,1.0,51.697886473365074,51.76592279698108,51.163315359239284,51.46461907811019,7873136.0
2017-06-26,52.95,53.57,52.67,53.28,7966219.0,0.0,1.0,51.46461907811019,52.067226515851985,51.19247378364615,51.78536174658566,7966219.0
2017-06-23,52.15,52.915,51.67,52.85,8522404.0,0.0,1.0,50.68706109392721,51.430600916302176,50.22052630341744,51.36742433008732,8522404.0
2017-06-22,52.6,52.62,52.09,52.4,10660744.0,0.0,1.0,51.12443746003014,51.14387640963471,50.628744245113495,50.93004796398439,10660744.0
2017-06-21,51.9,52.685,51.9,52.59,13021697.0,0.0,1.0,50.44407422387004,51.20705299584958,50.44407422387004,51.11471798522785,13021697.0
2017-06-20,52.05,52.13,51.1,51.56,10676464.0,0.0,1.0,50.58986634590434,50.66762214432264,49.66651623968707,50.11361208059228,10676464.0
2017-06-19,51.42,52.22,51.4,52.02,11265164.0,0.0,1.0,49.977539433360256,50.755097417543226,49.95810048375568,50.56070792149749,11265164.0
2017-06-16,51.75,51.84,50.79,51.1,25725453.0,0.0,1.0,50.29828210183573,50.38575737505632,49.36521252081617,49.66651623968707,25725453.0
2017-06-15,54.0,54.05,52.73,52.9,16041068.0,0.0,1.0,52.48516393235033,52.53376130636176,51.25079063245987,51.416021704098746,16041068.0
2017-06-14,54.48,54.67,53.95,54.66,6783148.0,0.0,1.0,52.95169872286011,53.136368744103564,52.436566558338896,53.126649269301275,6783148.0
2017-06-13,54.03,54.66,53.84,54.31,8720065.0,0.0,1.0,52.51432235675719,53.126649269301275,52.32965233551374,52.78646765122123,8720065.0
2017-06-12,53.51,54.25,53.5,54.03,9180088.0,0.0,1.0,52.00890966703826,52.728150802407505,51.99919019223597,52.51432235675719,9180088.0
2017-06-09,53.2,53.47,52.8,53.46,8347402.0,0.0,1.0,51.70760594816736,51.97003176782911,51.318826956075874,51.960312293026824,8347402.0
2017-06-08,53.54,54.14,53.15,53.2,7785615.0,0.0,1.0,52.03806809144512,52.62123657958235,51.659008574155926,51.70760594816736,7785615.0
2017-06-07,52.79,53.36,52.75,53.23,7437708.0,0.0,1.0,51.30910748127359,51.86311754500395,51.270229582064445,51.73676437257422,7437708.0
2017-06-06,52.9,53.1,52.43,52.48,8923047.0,0.0,1.0,51.416021704098746,51.61041120014449,50.95920638839125,51.00780376240269,8923047.0
2017-06-05,53.0,53.23,52.7,53.01,5748870.0,0.0,1.0,51.51321645212162,51.73676437257422,51.22163220805301,51.52293592692391,5748870.0
2017-06-02,52.7,53.01,52.36,52.98,18511069.0,0.0,1.0,51.22163220805301,51.52293592692391,50.891170064775245,51.49377750251704,18511069.0
2017-06-01,53.06,53.3,52.21,52.3,13351104.0,0.18,1.0,51.57153330093534,51.80480069619023,50.74537794274094,50.83285321596152,13351104.0
2017-05-31,53.02,53.2799,52.71,52.99,8938801.0,0.0,1.0,51.35590467816844,51.607647409700995,51.05563439430892,51.3268462636014,8938801.0
2017-05-30,52.76,53.02,52.64,52.92,8039561.0,0.0,1.0,51.104065085254,51.35590467816844,50.98783142698579,51.25904329627827,8039561.0
2017-05-26,52.35,52.76,52.23,52.59,5921314.0,0.0,1.0,50.7069334195043,51.104065085254,50.590699761236095,50.93940073604071,5921314.0
2017-05-25,52.38,52.59,52.21,52.35,7627439.0,0.0,1.0,50.735991834071356,50.93940073604071,50.57132748485806,50.7069334195043,7627439.0
2017-05-24,52.25,52.3,51.74,52.01,9403025.0,0.0,1.0,50.61007203761413,50.65850272855921,50.11607898997426,50.37760472107772,9403025.0
2017-05-23,51.98,52.625,51.88,52.2,11087298.0,0.0,1.0,50.34854630651066,50.97330221970227,50.2516849246205,50.56164134666905,11087298.0
2017-05-22,51.77,51.96,51.4,51.57,13671318.0,0.0,1.0,50.145137404541316,50.329174030132634,49.786750291547676,49.95141464076097,13671318.0
2017-05-19,51.0,52.11,50.81,51.77,20047766.0,0.0,1.0,49.399304763987,50.47446610296789,49.21526813839568,50.145137404541316,20047766.0
2017-05-18,51.97,52.08,51.3,51.68,22576489.0,0.0,1.0,50.33886016832165,50.44540768840084,49.689888909657505,50.057962160840155,22576489.0
2017-05-17,52.39,52.87,51.8,51.8,18341473.0,0.0,1.0,50.74567797226037,51.21061260533318,50.17419581910836,50.17419581910836,18341473.0
2017-05-16,52.37,53.38,52.12,52.78,14562678.0,0.0,1.0,50.72630569588233,51.70460565297306,50.484152241156906,51.123437361632035,14562678.0
2017-05-15,54.12,54.2,53.68,53.77,8181962.0,0.0,1.0,52.421379878960316,52.49886898447246,51.99518979864357,52.082365042344726,8181962.0
2017-05-12,54.1,54.39,53.79,54.2,5606253.0,0.0,1.0,52.40200760258229,52.682905610063784,52.101737318722755,52.49886898447246,5606253.0
2017-05-11,54.52,54.52,53.4,54.24,6499597.0,0.0,1.0,52.808825406521,52.808825406521,51.72397792935109,52.53761353722852,6499597.0
2017-05-10,54.91,55.06,54.51,54.56,5823023.0,0.0,1.0,53.186584795892664,53.331876868727925,52.799139268331984,52.847569959277074,5823023.0
2017-05-09,54.33,55.08,54.16,54.89,6441208.0,0.0,1.0,52.62478878092968,53.35124914510595,52.46012443171639,53.167212519514635,6441208.0
2017-05-08,54.18,54.51,53.83,54.3,8728121.0,0.0,1.0,52.47949670809442,52.799139268331984,52.140481871478826,52.59573036636262,8728121.0
2017-05-05,54.41,54.5,53.56,53.95,13379949.0,0.0,1.0,52.70227788644181,52.78945313014297,51.878956140375365,52.256715529747034,13379949.0
2017-05-04,54.68,54.83,54.2,54.47,6830395.0,0.0,1.0,52.963803617545274,53.10909569038053,52.49886898447246,52.76039471557591,6830395.0
2017-05-03,55.17,55.3,54.4,54.53,9474727.0,0.0,1.0,53.438424388807114,53.56434418526433,52.692591748252795,52.81851154471002,9474727.0
2017-05-02,55.12,55.16,54.79,55.07,7363616.0,0.0,1.0,53.389993697862025,53.42873825061809,53.07035113762446,53.34156300691694,7363616.0
2017-05-01,55.43,55.45,54.98,54.99,4881442.0,0.0,1.0,53.69026398172156,53.70963625809959,53.25438776321578,53.26407390140481,4881442.0
2017-04-28,55.43,55.53,55.14,55.41,6437731.0,0.0,1.0,53.69026398172156,53.78712536361173,53.40936597424006,53.670891705343514,6437731.0
2017-04-27,55.18,55.57,54.91,55.47,8557987.0,0.0,1.0,53.448110526996125,53.82586991636779,53.186584795892664,53.72900853447762,8557987.0
2017-04-26,55.46,55.84,55.12,55.16,10936009.0,0.0,1.0,53.719322396288604,54.087395647471254,53.389993697862025,53.42873825061809,10936009.0
